2023-01-23 17:22:11.845[1674494531845] | INFO  | JavaFX Application Thread | c.b.c.client.utils.RequestHandler    - POST https://api.binance.com/sapi/v3/asset/getUserAsset?timestamp=1674494531845&signature=e5ad0f937f211ee255be02818c16f428e5685a041bbab9af609641b76204869b
2023-01-23 17:22:12.108[1674494532108] | INFO  | JavaFX Application Thread | c.b.c.client.utils.RequestHandler    - GET https://api.binance.com/api/v3/ticker/price?symbol=BTCGBP
2023-01-23 17:22:12.378[1674494532378] | INFO  | JavaFX Application Thread | c.b.c.client.utils.RequestHandler    - GET https://api.binance.com/api/v3/klines?symbol=BTCUSDT&interval=4h&limit=10
2023-01-23 17:22:12.610[1674494532610] | INFO  | JavaFX Application Thread | c.b.c.client.utils.RequestHandler    - GET https://api.binance.com/api/v3/klines?symbol=BTCUSDT&interval=4h&limit=10
2023-01-23 17:22:12.848[1674494532848] | INFO  | JavaFX Application Thread | c.b.c.client.utils.RequestHandler    - POST https://api.binance.com/api/v3/order?symbol=BTCUSDT&side=BUY&type=MARKET&quoteOrderQty=0.0&timestamp=1674494532848&signature=ab3722f776912fdc23d84e41da134e2a9f0841636eed269241b5c26d74700fd0
2023-01-23 17:22:13.085[1674494533085] | INFO  | JavaFX Application Thread | c.b.c.client.utils.RequestHandler    - POST https://api.binance.com/sapi/v3/asset/getUserAsset?timestamp=1674494533085&signature=b95d14e68ed40e959d3b9dbfdd34ed0814d1a0b03cf8a5f05e115e2ba4c6ffaf
2023-01-23 17:22:13.343[1674494533343] | INFO  | JavaFX Application Thread | c.b.c.client.utils.RequestHandler    - GET https://api.binance.com/api/v3/klines?symbol=BTCUSDT&interval=4h&limit=10
2023-01-23 17:22:13.576[1674494533576] | INFO  | JavaFX Application Thread | c.b.c.client.utils.RequestHandler    - GET https://api.binance.com/api/v3/klines?symbol=BTCUSDT&interval=4h&limit=10
2023-01-23 17:22:13.810[1674494533810] | INFO  | JavaFX Application Thread | c.b.c.client.utils.RequestHandler    - POST https://api.binance.com/api/v3/order?symbol=BTCUSDT&side=BUY&type=MARKET&quoteOrderQty=0.0&timestamp=1674494533810&signature=efe865bf880073bcf726d30fcd921642a134b92140f32fc0a1a501c1a8cf9ad3
2023-01-23 17:22:14.057[1674494534057] | INFO  | JavaFX Application Thread | c.b.c.client.utils.RequestHandler    - POST https://api.binance.com/sapi/v3/asset/getUserAsset?timestamp=1674494534057&signature=625ce036bf1b322c0326af3f8d25edfd5611c74f9d0922761e04f0ed798d6890
2023-01-23 17:22:14.310[1674494534310] | INFO  | JavaFX Application Thread | c.b.c.client.utils.RequestHandler    - GET https://api.binance.com/api/v3/klines?symbol=BTCUSDT&interval=4h&limit=10
2023-01-23 17:22:14.550[1674494534550] | INFO  | JavaFX Application Thread | c.b.c.client.utils.RequestHandler    - GET https://api.binance.com/api/v3/klines?symbol=BTCUSDT&interval=4h&limit=10
2023-01-23 17:22:14.785[1674494534785] | INFO  | JavaFX Application Thread | c.b.c.client.utils.RequestHandler    - POST https://api.binance.com/api/v3/order?symbol=BTCUSDT&side=BUY&type=MARKET&quoteOrderQty=0.0&timestamp=1674494534785&signature=06110b0002c036afdf3b6427d43e91a126c0e9b649e8be50806857a0c6f124d9
2023-01-23 17:22:15.021[1674494535021] | INFO  | JavaFX Application Thread | c.b.c.client.utils.RequestHandler    - POST https://api.binance.com/sapi/v3/asset/getUserAsset?timestamp=1674494535021&signature=563b87ded6220def8dc58276a4b6edffe33543e46be70b9274a3d450126d1c3f
2023-01-23 17:22:15.266[1674494535266] | INFO  | JavaFX Application Thread | c.b.c.client.utils.RequestHandler    - GET https://api.binance.com/api/v3/klines?symbol=BTCUSDT&interval=4h&limit=10
2023-01-23 17:22:15.511[1674494535511] | INFO  | JavaFX Application Thread | c.b.c.client.utils.RequestHandler    - GET https://api.binance.com/api/v3/klines?symbol=BTCUSDT&interval=4h&limit=10
2023-01-23 17:22:15.744[1674494535744] | INFO  | JavaFX Application Thread | c.b.c.client.utils.RequestHandler    - POST https://api.binance.com/api/v3/order?symbol=BTCUSDT&side=BUY&type=MARKET&quoteOrderQty=0.0&timestamp=1674494535744&signature=80cd8a3ff738e772fd764c34212e72774e6e6a7060037dd94b0dc3d9bc0db3cc
2023-01-23 17:22:15.982[1674494535982] | INFO  | JavaFX Application Thread | c.b.c.client.utils.RequestHandler    - POST https://api.binance.com/sapi/v3/asset/getUserAsset?timestamp=1674494535981&signature=c24a8f797d1c0be7bb89d73b79095918a822de06f126122937165245adff6775
2023-01-23 17:22:16.233[1674494536233] | INFO  | JavaFX Application Thread | c.b.c.client.utils.RequestHandler    - GET https://api.binance.com/api/v3/klines?symbol=BTCUSDT&interval=4h&limit=10
2023-01-23 17:22:16.475[1674494536475] | INFO  | JavaFX Application Thread | c.b.c.client.utils.RequestHandler    - GET https://api.binance.com/api/v3/klines?symbol=BTCUSDT&interval=4h&limit=10
2023-01-23 17:22:16.728[1674494536728] | INFO  | JavaFX Application Thread | c.b.c.client.utils.RequestHandler    - POST https://api.binance.com/api/v3/order?symbol=BTCUSDT&side=BUY&type=MARKET&quoteOrderQty=0.0&timestamp=1674494536728&signature=a1cda2bd98da4a18d6a8473d095f14ccaa12696e22c9a255d8996739593301bb
2023-01-23 17:22:16.961[1674494536961] | INFO  | JavaFX Application Thread | c.b.c.client.utils.RequestHandler    - POST https://api.binance.com/sapi/v3/asset/getUserAsset?timestamp=1674494536961&signature=7b00a22a041d5c3aa5cfccbd44485937d3572749259d0a723fef4b165df28573
2023-01-23 17:22:17.210[1674494537210] | INFO  | JavaFX Application Thread | c.b.c.client.utils.RequestHandler    - GET https://api.binance.com/api/v3/klines?symbol=BTCUSDT&interval=4h&limit=10
2023-01-23 17:22:17.443[1674494537443] | INFO  | JavaFX Application Thread | c.b.c.client.utils.RequestHandler    - GET https://api.binance.com/api/v3/klines?symbol=BTCUSDT&interval=4h&limit=10
2023-01-23 17:22:17.677[1674494537677] | INFO  | JavaFX Application Thread | c.b.c.client.utils.RequestHandler    - POST https://api.binance.com/api/v3/order?symbol=BTCUSDT&side=BUY&type=MARKET&quoteOrderQty=0.0&timestamp=1674494537677&signature=ab9b84f32a988b7b810e99f801f8274300e3aa82383eb1839c302ce628611690
2023-01-23 17:22:17.908[1674494537908] | INFO  | JavaFX Application Thread | c.b.c.client.utils.RequestHandler    - POST https://api.binance.com/sapi/v3/asset/getUserAsset?timestamp=1674494537908&signature=de7dd504379737e1678bc6ab86b599a991c60a7adc62e9e89d3fd578fb357eec
2023-01-23 17:22:18.154[1674494538154] | INFO  | JavaFX Application Thread | c.b.c.client.utils.RequestHandler    - GET https://api.binance.com/api/v3/klines?symbol=BTCUSDT&interval=4h&limit=10
2023-01-23 17:22:36.185[1674494556185] | INFO  | JavaFX Application Thread | c.b.c.client.utils.RequestHandler    - POST https://api.binance.com/sapi/v3/asset/getUserAsset?timestamp=1674494556158&signature=d09b36cbe49b4f8088c86b91a933e450e5c88f77fec9ee43c36ebe5b2babb4d0
2023-01-23 17:22:37.132[1674494557132] | INFO  | JavaFX Application Thread | c.b.c.client.utils.RequestHandler    - GET https://api.binance.com/api/v3/klines?symbol=BTCUSDT&interval=4h&limit=10
2023-01-23 17:22:37.991[1674494557991] | INFO  | JavaFX Application Thread | c.b.c.client.utils.RequestHandler    - GET https://api.binance.com/api/v3/klines?symbol=BTCUSDT&interval=4h&limit=10
2023-01-23 17:22:38.227[1674494558227] | INFO  | JavaFX Application Thread | c.b.c.client.utils.RequestHandler    - POST https://api.binance.com/api/v3/order?symbol=BTCUSDT&side=BUY&type=MARKET&quoteOrderQty=0.0&timestamp=1674494558226&signature=e1953cd787c5c299ab41580ca7b08f9a8a2d64c0b2e394d7ab91e867dd76da95
2023-01-23 17:22:38.460[1674494558460] | INFO  | JavaFX Application Thread | c.b.c.client.utils.RequestHandler    - POST https://api.binance.com/sapi/v3/asset/getUserAsset?timestamp=1674494558460&signature=ef3367d7ad5c2a5091db5cb9abd32b9c896d1f0b908e8ec0ed5b490348dfab8e
2023-01-23 17:22:38.713[1674494558713] | INFO  | JavaFX Application Thread | c.b.c.client.utils.RequestHandler    - POST https://api.binance.com/sapi/v3/asset/getUserAsset?timestamp=1674494558713&signature=770f74e298b73332507ad0d24ce22b9a1313fb8d29d60e2a0bb7f589829aa9ac
2023-01-23 17:22:38.967[1674494558967] | INFO  | JavaFX Application Thread | c.b.c.client.utils.RequestHandler    - GET https://api.binance.com/api/v3/ticker/price?symbol=BTCGBP
2023-01-23 17:22:39.864[1674494559864] | INFO  | JavaFX Application Thread | c.b.c.client.utils.RequestHandler    - GET https://api.binance.com/api/v3/klines?symbol=BTCUSDT&interval=4h&limit=10
2023-01-23 17:22:40.109[1674494560109] | INFO  | JavaFX Application Thread | c.b.c.client.utils.RequestHandler    - GET https://api.binance.com/api/v3/klines?symbol=BTCUSDT&interval=4h&limit=10
2023-01-23 17:22:40.340[1674494560340] | INFO  | JavaFX Application Thread | c.b.c.client.utils.RequestHandler    - POST https://api.binance.com/api/v3/order?symbol=BTCUSDT&side=BUY&type=MARKET&quoteOrderQty=0.0&timestamp=1674494560340&signature=ec3c05f8e5f903ecee5f18f570990848dba5e252a3aaa5f6a91087d96939ab65
2023-01-23 17:22:40.581[1674494560581] | INFO  | JavaFX Application Thread | c.b.c.client.utils.RequestHandler    - POST https://api.binance.com/sapi/v3/asset/getUserAsset?timestamp=1674494560580&signature=930bc56bb2b94450de36fb3eb83808cd20da9391a4f508cac2807bc1ab88e84c
2023-01-23 17:22:40.835[1674494560835] | INFO  | JavaFX Application Thread | c.b.c.client.utils.RequestHandler    - GET https://api.binance.com/api/v3/klines?symbol=BTCUSDT&interval=4h&limit=10
2023-01-23 17:22:41.066[1674494561066] | INFO  | JavaFX Application Thread | c.b.c.client.utils.RequestHandler    - GET https://api.binance.com/api/v3/klines?symbol=BTCUSDT&interval=4h&limit=10
2023-01-23 17:22:41.299[1674494561299] | INFO  | JavaFX Application Thread | c.b.c.client.utils.RequestHandler    - POST https://api.binance.com/api/v3/order?symbol=BTCUSDT&side=BUY&type=MARKET&quoteOrderQty=0.0&timestamp=1674494561299&signature=cea600a149e7d4a310906e078b7bb0f7f20730d90e36475fcbbac8a0af8f5565
2023-01-23 17:22:41.536[1674494561536] | INFO  | JavaFX Application Thread | c.b.c.client.utils.RequestHandler    - POST https://api.binance.com/sapi/v3/asset/getUserAsset?timestamp=1674494561536&signature=e9ff144c76c2a243492c59697a986e77296a49fb659bfc97d0c5e8face39be68
2023-01-23 17:22:42.408[1674494562408] | INFO  | JavaFX Application Thread | c.b.c.client.utils.RequestHandler    - GET https://api.binance.com/api/v3/klines?symbol=BTCUSDT&interval=4h&limit=10
2023-01-23 17:22:42.640[1674494562640] | INFO  | JavaFX Application Thread | c.b.c.client.utils.RequestHandler    - GET https://api.binance.com/api/v3/klines?symbol=BTCUSDT&interval=4h&limit=10
2023-01-23 17:22:42.871[1674494562871] | INFO  | JavaFX Application Thread | c.b.c.client.utils.RequestHandler    - POST https://api.binance.com/api/v3/order?symbol=BTCUSDT&side=BUY&type=MARKET&quoteOrderQty=0.0&timestamp=1674494562871&signature=9791a00755abebcad4b07d632fb757d4842b3b932fa55f8d23f839134dff3814
2023-01-23 17:22:43.109[1674494563109] | INFO  | JavaFX Application Thread | c.b.c.client.utils.RequestHandler    - POST https://api.binance.com/sapi/v3/asset/getUserAsset?timestamp=1674494563109&signature=d080d7e5357c481ad464dfea2d409f5c5b706b93336d740955a1896b3413b806
2023-01-23 17:22:43.357[1674494563357] | INFO  | JavaFX Application Thread | c.b.c.client.utils.RequestHandler    - GET https://api.binance.com/api/v3/klines?symbol=BTCUSDT&interval=4h&limit=10
2023-01-23 17:22:43.590[1674494563590] | INFO  | JavaFX Application Thread | c.b.c.client.utils.RequestHandler    - GET https://api.binance.com/api/v3/klines?symbol=BTCUSDT&interval=4h&limit=10
2023-01-23 17:22:43.826[1674494563826] | INFO  | JavaFX Application Thread | c.b.c.client.utils.RequestHandler    - POST https://api.binance.com/api/v3/order?symbol=BTCUSDT&side=BUY&type=MARKET&quoteOrderQty=0.0&timestamp=1674494563825&signature=e9c6f921acded0b215698b93dce3e48fe49c36d430a82d4806d0042b85585b85
